id,produto,quantidade,valor,total,vendido_em
1,Produto 2,9,58.24,524.17,2021-03-20
2,Produto 9,11,30.09,330.99,2021-03-20
3,Produto 12,25,44.98,1124.43,2021-03-20
4,Produto 10,28,59.08,1654.12,2021-03-20
5,Produto 1,6,27.17,163.0,2021-03-20
6,Produto 12,16,66.11,1057.8,2021-03-20
7,Produto 8,27,13.3,359.1,2021-03-20
8,Produto 9,22,25.59,562.88,2021-03-20
9,Produto 4,5,26.8,134.01,2021-03-20
10,Produto 7,13,68.93,896.03,2021-03-20
11,Produto 4,16,50.34,805.36,2021-03-20
12,Produto 4,26,64.95,1688.57,2021-03-20
13,Produto 9,29,70.25,2037.38,2021-03-20
14,Produto 11,22,69.74,1534.28,2021-03-20
15,Produto 7,13,54.17,704.2,2021-03-20
16,Produto 11,7,35.08,245.58,2021-03-20
17,Produto 9,29,23.67,686.39,2021-03-20
18,Produto 1,24,12.52,300.47,2021-03-20
19,Produto 12,20,8.74,174.75,2021-03-20
20,Produto 12,21,7.44,156.18,2021-03-20
21,Produto 12,16,62.82,1005.17,2021-03-20
22,Produto 4,12,60.44,725.25,2021-03-20
23,Produto 12,17,13.68,232.55,2021-03-20
24,Produto 2,12,43.0,515.97,2021-03-20
25,Produto 9,19,35.11,667.12,2021-03-20
26,Produto 6,22,18.02,396.52,2021-03-20
27,Produto 2,14,31.26,437.62,2021-03-20
28,Produto 10,6,35.54,213.21,2021-03-20
29,Produto 3,3,16.7,50.11,2021-03-20
30,Produto 7,21,11.57,243.04,2021-03-20
31,Produto 4,5,10.35,51.73,2021-03-21
32,Produto 11,29,35.08,1017.36,2021-03-21
33,Produto 11,12,50.13,601.53,2021-03-21
34,Produto 9,16,23.61,377.82,2021-03-21
35,Produto 11,20,52.72,1054.34,2021-03-21
36,Produto 5,11,13.39,147.32,2021-03-21
37,Produto 3,28,34.62,969.33,2021-03-21
38,Produto 2,19,55.18,1048.48,2021-03-21
39,Produto 12,23,41.92,964.21,2021-03-21
40,Produto 2,15,34.62,519.27,2021-03-21
41,Produto 11,9,44.07,396.6,2021-03-21
42,Produto 10,25,44.01,1100.16,2021-03-21
43,Produto 7,15,9.47,142.04,2021-03-21
44,Produto 7,11,30.85,339.39,2021-03-21
45,Produto 3,1,58.32,58.32,2021-03-21
46,Produto 10,25,61.81,1545.3,2021-03-21
47,Produto 6,22,63.12,1388.61,2021-03-21
48,Produto 6,17,30.08,511.37,2021-03-21
49,Produto 8,1,41.36,41.36,2021-03-21
50,Produto 6,10,25.4,253.98,2021-03-21
51,Produto 12,21,24.69,518.47,2021-03-21
52,Produto 9,18,30.41,547.39,2021-03-21
53,Produto 1,13,47.74,620.68,2021-03-21
54,Produto 8,2,46.04,92.08,2021-03-21
55,Produto 2,11,39.52,434.76,2021-03-21
56,Produto 4,18,55.78,1004.06,2021-03-21
57,Produto 4,17,25.22,428.73,2021-03-21
58,Produto 12,23,30.77,707.74,2021-03-21
59,Produto 6,20,12.15,242.95,2021-03-21
60,Produto 9,21,67.79,1423.69,2021-03-21
61,Produto 12,10,42.77,427.65,2021-03-22
62,Produto 1,6,42.78,256.65,2021-03-22
63,Produto 9,11,31.54,346.98,2021-03-22
64,Produto 2,17,57.89,984.13,2021-03-22
65,Produto 1,15,60.59,908.82,2021-03-22
66,Produto 12,20,69.32,1386.39,2021-03-22
67,Produto 7,12,58.6,703.2,2021-03-22
68,Produto 8,13,66.63,866.14,2021-03-22
69,Produto 4,26,29.62,770.16,2021-03-22
70,Produto 4,2,27.88,55.76,2021-03-22
71,Produto 7,24,21.72,521.26,2021-03-22
72,Produto 3,12,23.3,279.66,2021-03-22
73,Produto 8,5,25.49,127.45,2021-03-22
74,Produto 10,11,7.55,83.07,2021-03-22
75,Produto 4,28,50.83,1423.17,2021-03-22
76,Produto 3,15,65.13,976.96,2021-03-22
77,Produto 2,3,27.06,81.17,2021-03-22
78,Produto 8,7,36.96,258.69,2021-03-22
79,Produto 2,16,26.99,431.86,2021-03-22
80,Produto 11,21,28.86,606.08,2021-03-22
81,Produto 4,11,13.56,149.15,2021-03-22
82,Produto 2,21,18.82,395.21,2021-03-22
83,Produto 6,2,33.98,67.97,2021-03-22
84,Produto 9,28,48.54,1359.26,2021-03-22
85,Produto 5,1,66.28,66.28,2021-03-22
86,Produto 8,29,4.61,133.55,2021-03-22
87,Produto 4,3,6.8,20.4,2021-03-22
88,Produto 11,29,61.47,1782.65,2021-03-22
89,Produto 8,17,11.18,190.11,2021-03-22
90,Produto 12,8,14.71,117.71,2021-03-22
91,Produto 8,25,69.58,1739.54,2021-03-23
92,Produto 6,6,9.23,55.36,2021-03-23
93,Produto 10,1,66.43,66.43,2021-03-23
94,Produto 5,18,9.31,167.49,2021-03-23
95,Produto 1,24,53.83,1291.96,2021-03-23
96,Produto 12,4,34.77,139.07,2021-03-23
97,Produto 4,27,66.82,1804.2,2021-03-23
98,Produto 5,23,26.66,613.07,2021-03-23
99,Produto 11,25,58.02,1450.39,2021-03-23
100,Produto 4,26,8.66,225.14,2021-03-23
101,Produto 6,26,63.82,1659.41,2021-03-23
102,Produto 1,28,17.66,494.57,2021-03-23
103,Produto 2,7,28.92,202.42,2021-03-23
104,Produto 12,1,69.25,69.25,2021-03-23
105,Produto 2,25,50.21,1255.29,2021-03-23
106,Produto 11,5,70.15,350.77,2021-03-23
107,Produto 8,27,46.79,1263.28,2021-03-23
108,Produto 2,22,38.56,848.31,2021-03-23
109,Produto 12,2,30.16,60.31,2021-03-23
110,Produto 9,9,16.94,152.42,2021-03-23
111,Produto 12,18,55.5,998.98,2021-03-23
112,Produto 12,28,27.96,782.85,2021-03-23
113,Produto 7,29,9.62,279.07,2021-03-23
114,Produto 10,9,51.72,465.5,2021-03-23
115,Produto 6,24,24.42,586.17,2021-03-23
116,Produto 3,16,63.03,1008.5,2021-03-23
117,Produto 3,7,4.93,34.48,2021-03-23
118,Produto 9,1,37.78,37.78,2021-03-23
119,Produto 8,2,40.79,81.58,2021-03-23
120,Produto 5,29,22.57,654.64,2021-03-23
