Arquivo TXT com os dados
**********************************************************************
DATA			 QTD t	 VALOR 		 TOTAL 			 PRODUTO 
2021-03-20        9       38.67       348.01        Produto 7
2021-03-20        18       7.38       132.91        Produto 6
2021-03-20        8       46.88       375.01        Produto 7
2021-03-20        15       39.31       589.59        Produto 1
2021-03-20        2       53.28       106.55        Produto 8
2021-03-20        20       16.39       327.83        Produto 6
2021-03-20        21       51.46       1080.58        Produto 7
2021-03-20        28       65.93       1846.18        Produto 4
2021-03-20        19       31.89       605.95        Produto 11
2021-03-20        25       17.21       430.34        Produto 7
2021-03-20        4       55.14       220.57        Produto 2
2021-03-20        18       18.36       330.41        Produto 9
2021-03-20        15       49.42       741.34        Produto 6
2021-03-20        10       33.39       333.87        Produto 9
2021-03-20        11       17.47       192.14        Produto 5
2021-03-20        20       51.6       1031.99        Produto 7
2021-03-20        29       66.61       1931.7        Produto 2
2021-03-20        9       45.69       411.2        Produto 2
2021-03-20        10       49.71       497.1        Produto 8
2021-03-20        29       51.9       1505.09        Produto 5
2021-03-21        22       58.0       1276.01        Produto 4
2021-03-21        8       23.63       189.06        Produto 5
2021-03-21        6       51.48       308.86        Produto 9
2021-03-21        14       57.04       798.62        Produto 12
2021-03-21        8       16.7       133.59        Produto 11
2021-03-21        17       66.64       1132.85        Produto 5
2021-03-21        15       56.13       841.88        Produto 4
2021-03-21        5       17.37       86.84        Produto 3
2021-03-21        10       59.5       594.97        Produto 12
2021-03-21        26       37.89       985.05        Produto 8
2021-03-21        23       6.87       158.02        Produto 11
2021-03-21        20       45.18       903.62        Produto 11
2021-03-21        24       19.35       464.39        Produto 8
2021-03-21        20       32.81       656.24        Produto 1
2021-03-21        15       29.99       449.79        Produto 11
2021-03-21        11       34.85       383.36        Produto 7
2021-03-21        10       17.47       174.7        Produto 5
2021-03-21        22       4.51       99.18        Produto 7
2021-03-21        3       44.4       133.2        Produto 12
2021-03-21        1       52.74       52.74        Produto 4
2021-03-22        25       51.44       1286.02        Produto 3
2021-03-22        2       53.83       107.65        Produto 8
2021-03-22        23       5.48       126.12        Produto 4
2021-03-22        1       19.28       19.28        Produto 1
2021-03-22        6       11.29       67.74        Produto 1
2021-03-22        21       70.32       1476.72        Produto 10
2021-03-22        13       48.62       632.07        Produto 3
2021-03-22        7       25.83       180.8        Produto 10
2021-03-22        3       15.27       45.81        Produto 5
2021-03-22        1       7.59       7.59        Produto 12
2021-03-22        1       34.51       34.51        Produto 1
2021-03-22        7       40.94       286.56        Produto 11
2021-03-22        23       47.88       1101.26        Produto 8
2021-03-22        27       48.88       1319.83        Produto 11
2021-03-22        17       45.85       779.38        Produto 12
2021-03-22        14       69.02       966.33        Produto 8
2021-03-22        17       4.81       81.84        Produto 11
2021-03-22        20       61.11       1222.16        Produto 4
2021-03-22        27       55.8       1506.53        Produto 12
2021-03-22        10       61.63       616.3        Produto 10
2021-03-23        4       45.04       180.14        Produto 5
2021-03-23        9       45.81       412.33        Produto 9
2021-03-23        5       48.14       240.7        Produto 12
2021-03-23        4       51.43       205.72        Produto 6
2021-03-23        3       61.46       184.39        Produto 1
2021-03-23        7       37.37       261.59        Produto 10
2021-03-23        28       52.99       1483.63        Produto 10
2021-03-23        26       38.36       997.3        Produto 11
2021-03-23        8       57.34       458.7        Produto 9
2021-03-23        23       38.87       894.04        Produto 6
2021-03-23        22       9.92       218.17        Produto 8
2021-03-23        11       53.02       583.19        Produto 1
2021-03-23        8       58.63       469.06        Produto 3
2021-03-23        20       53.53       1070.56        Produto 5
2021-03-23        13       24.61       319.91        Produto 8
2021-03-23        7       49.73       348.11        Produto 12
2021-03-23        4       9.47       37.87        Produto 7
2021-03-23        4       60.51       242.06        Produto 4
2021-03-23        15       30.39       455.82        Produto 6
2021-03-23        5       25.12       125.62        Produto 6
