Arquivo TXT com os dados
*******************************************************
DATA			 PRODUTO 			 TOTAL 
2021-03-20        Produto 7       348.01
2021-03-20        Produto 6       132.91
2021-03-20        Produto 7       375.01
2021-03-20        Produto 1       589.59
2021-03-20        Produto 8       106.55
2021-03-20        Produto 6       327.83
2021-03-20        Produto 7       1080.58
2021-03-20        Produto 4       1846.18
2021-03-20        Produto 11       605.95
2021-03-20        Produto 7       430.34
2021-03-20        Produto 2       220.57
2021-03-20        Produto 9       330.41
2021-03-20        Produto 6       741.34
2021-03-20        Produto 9       333.87
2021-03-20        Produto 5       192.14
2021-03-20        Produto 7       1031.99
2021-03-20        Produto 2       1931.7
2021-03-20        Produto 2       411.2
2021-03-20        Produto 8       497.1
2021-03-20        Produto 5       1505.09
2021-03-21        Produto 4       1276.01
2021-03-21        Produto 5       189.06
2021-03-21        Produto 9       308.86
2021-03-21        Produto 12       798.62
2021-03-21        Produto 11       133.59
2021-03-21        Produto 5       1132.85
2021-03-21        Produto 4       841.88
2021-03-21        Produto 3       86.84
2021-03-21        Produto 12       594.97
2021-03-21        Produto 8       985.05
2021-03-21        Produto 11       158.02
2021-03-21        Produto 11       903.62
2021-03-21        Produto 8       464.39
2021-03-21        Produto 1       656.24
2021-03-21        Produto 11       449.79
2021-03-21        Produto 7       383.36
2021-03-21        Produto 5       174.7
2021-03-21        Produto 7       99.18
2021-03-21        Produto 12       133.2
2021-03-21        Produto 4       52.74
2021-03-22        Produto 3       1286.02
2021-03-22        Produto 8       107.65
2021-03-22        Produto 4       126.12
2021-03-22        Produto 1       19.28
2021-03-22        Produto 1       67.74
2021-03-22        Produto 10       1476.72
2021-03-22        Produto 3       632.07
2021-03-22        Produto 10       180.8
2021-03-22        Produto 5       45.81
2021-03-22        Produto 12       7.59
2021-03-22        Produto 1       34.51
2021-03-22        Produto 11       286.56
2021-03-22        Produto 8       1101.26
2021-03-22        Produto 11       1319.83
2021-03-22        Produto 12       779.38
2021-03-22        Produto 8       966.33
2021-03-22        Produto 11       81.84
2021-03-22        Produto 4       1222.16
2021-03-22        Produto 12       1506.53
2021-03-22        Produto 10       616.3
2021-03-23        Produto 5       180.14
2021-03-23        Produto 9       412.33
2021-03-23        Produto 12       240.7
2021-03-23        Produto 6       205.72
2021-03-23        Produto 1       184.39
2021-03-23        Produto 10       261.59
2021-03-23        Produto 10       1483.63
2021-03-23        Produto 11       997.3
2021-03-23        Produto 9       458.7
2021-03-23        Produto 6       894.04
2021-03-23        Produto 8       218.17
2021-03-23        Produto 1       583.19
2021-03-23        Produto 3       469.06
2021-03-23        Produto 5       1070.56
2021-03-23        Produto 8       319.91
2021-03-23        Produto 12       348.11
2021-03-23        Produto 7       37.87
2021-03-23        Produto 4       242.06
2021-03-23        Produto 6       455.82
2021-03-23        Produto 6       125.62
